通番号,公示年度,スキーム,分野,調査・事業名,提案法人名,代表法人所在地,外部人材（コンサルティング企業）,対象国
113,2016,案件化調査（中小企業支援型）,廃棄物処理,生ごみ堆肥化による高付加価値肥料の製造に関する案件化調査,株式会社岡田製作所,群馬県,株式会社福山コンサルタント,フィリピン
,,,,,,,,
,,,,,,,,
114,2020,案件化調査（中小企業支援型）,廃棄物管理,パラグアイ国 スクリュー型コンポストプラント及びバイオ飼料による循環型農業支援にかかる案件化調査,株式会社カワシマ,群馬県,【契約交渉中】,パラグアイ
115,2014,案件化調査（中小企業支援型）,農業,高度冷蔵保存技術導入による農水産物の高付加価値化に向けた案件化調査,株式会社MARS Company,群馬県,デロイトトーマツコンサルティング合同会社、日本通運株式会社,モロッコ
,,,,,,,,
,,,,,,,,
116,2013,案件化調査（中小企業支援型）,防災・災害対策,災害用浄水器レスキューアクアシリーズの受容性に関する案件化調査,株式会社トヨダプロダクツ、株式会社工業市場研究所 共同企業体,群馬県,(なし),インド
,,,,,,,,インドネシア
,,,,,,,,
117,2013,普及・実証・ビジネス化事業（中小企業支援型）,環境・エネルギー,スクリュー型コンポストプラントによる有機性廃棄物・農業廃棄物のリサイクル事業普及・実証事業,株式会社カワシマ,群馬県,株式会社PEARカーボンオフセット・イニシアティブ,スリランカ
,,,,,,,,
,,,,,,,,
,,,,,,,,
118,2015,普及・実証・ビジネス化事業（中小企業支援型）,廃棄物処理,次世代焼却炉による医療廃棄物適正処理 普及・実証事業,株式会社キンセイ産業,群馬県,Value Frontier 株式会社、有限会社ハンサ,タイ
,,,,,,,,
119,2017,普及・実証・ビジネス化事業（中小企業支援型）,廃棄物処理,レガスピ市における持続可能な有機性廃棄物堆肥化システムの普及・実証事業,株式会社岡田製作所,群馬県,株式会社福山コンサルタント,フィリピン
