通番号,公示年度,スキーム,分野,調査・事業名,提案法人名,代表法人所在地,外部人材（コンサルティング企業）,対象国
120,2016,普及・実証・ビジネス化事業（中小企業支援型）,農業,モロッコ王国高度冷蔵保存技術導入による水産品の高度付加価値化に向けた普及・実証事業【1.5億円枠】,株式会社MARS Company,群馬県,デロイトトーマツコンサルティング合同会社,モロッコ
,,,,,,,,
,,,,,,,,
121,2013,基礎調査,廃棄物処理,医療系廃棄物適正処理事業調査(中小企業連携促進),株式会社キンセイ産業、カーボンフリーコンサルティング株式会社 共同企業体,群馬県,株式会社日本開発サービス,ペルー
122,2019,基礎調査,その他,道路安全、環境維持のためのリビルトエンジンを導入したリサイクル循環ビジネスに係る基礎調査,いすゞ産業株式会社,群馬県,片平エンジニアリング・インターナショナル,フィリピン
123,2016,協力準備調査（PPPインフラ事業）,保健医療,ヤンゴン民間病院事業準備調査(PPPインフラ事業),医療法人 石井会、千代田化工建設株式会社,群馬県,-,ミャンマー
,,,,,,,,
,,,,,,,,
124,2012,協力準備調査（BOPビジネス連携促進）,農業,農業生産者の所得向上支援事業準備調査(BOPビジネス連携促進),ファームドゥ株式会社、NPO法人All Life Line Net、農業生産法人こもろ布引いちご園株式会社 共同企業体,群馬県,レックスインターナショナル、つくばGBソリューション、三祐コンサルタンツ、EVERYDAY FARM,モンゴル
,,,,,,,,
125,2013,ニーズ調査,防災・災害対策,災害に強い情報共有型コミュニティ構築に関するニーズ調査,アイ・シー・ネット株式会社,埼玉県,-,タイ
,,,,,,,,バングラデシュ
,,,,,,,,チリ
,,,,,,,,トルコ
126,2014,ニーズ調査,その他,バングラデシュ:環境・エネルギー・廃棄物処理分野、医療保健分野、教育分野に関するニーズ調査,アイ・シー・ネット株式会社,埼玉県,-,バングラデシュ
,,,,,,,,
,,,,,,,,
,,,,,,,,
127,2015,案件化調査（中小企業支援型）,環境・エネルギー,ウランバートル市のディーゼル路線バスのDPFによる黒煙低減計画に関する案件化調査,株式会社コモテック,埼玉県,株式会社エムアンドワイコンサルタント、株式会社数理計画,モンゴル
,,,,,,,,
,,,,,,,,
128,2019,案件化調査（中小企業支援型）,水の浄化・水処理,メキシコ市及び周辺州における汚泥の適正処理に関わる案件化調査,協栄工業株式会社、富国工業株式会社 共同企業体,埼玉県,【契約交渉中】,メキシコ
129,2019,案件化調査（中小企業支援型）,水の浄化・水処理,高耐久性ハンドポンプおよび料金徴収システムを活用した持続的な村落給水のための案件化調査【アフリカ課題提示型】,株式会社日さく,埼玉県,【契約交渉中】,ウガンダ
130,2016,案件化調査（中小企業支援型）,職業訓練・産業育成,自動車部品等向け梱包材事業展開による産業基盤強化に向けた案件化調査,カネパッケージ株式会社,埼玉県,株式会社日本開発サービス、アクセンチュア株式会社,メキシコ
,,,,,,,,
,,,,,,,,
131,2014,案件化調査（中小企業支援型）,福祉,点字携帯端末機による全盲児・者の教育と就労の支援に関する案件化調査,ケージーエス株式会社,埼玉県,特定非営利活動法人支援技術開発機構、株式会社エックス都市研究所,フィリピン
,,,,,,,,
,,,,,,,,
132,2014,案件化調査（中小企業支援型）,農業,ラバーダムによる小規模ダムのリハビリ技術に関する案件化調査,日本自動機工株式会社,埼玉県,日本テクノ株式会社,インドネシア
,,,,,,,,
,,,,,,,,
133,2014,案件化調査（中小企業支援型）,農業,籾殻熱源乾燥機を使用した米収穫後処理の品質改善技術普及のための案件化調査,金子農機株式会社,埼玉県,システム科学コンサルタンツ株式会社、野村貿易株式会社,ミャンマー
,,,,,,,,
,,,,,,,,
134,2017,案件化調査（中小企業支援型）,農業,農機開発整備人材の育成にかかる案件化調査,株式会社メカトロシステム&デザイン研究所,埼玉県,Value Frontier株式会社、BBBR Ltda.,ブラジル
,,,,,,,,
135,2020,案件化調査（中小企業支援型）,農業,インド国卵生産の印字・洗卵・飼料要求率向上等の技術導入による付加価値化に関する案件化調査,イセ食品株式会社,埼玉県,【契約交渉中】,インド
136,2013,案件化調査（中小企業支援型）,保健医療,新生児黄疸診断機器導入を通じた新生児医療向上案件化調査,株式会社アペレ、株式会社大和総研 共同企業体,埼玉県,(なし),ベトナム
,,,,,,,,
,,,,,,,,
137,2016,案件化調査（中小企業支援型）,保健医療,新生児人工呼吸管理改善に係る案件化調査,株式会社メトラン,埼玉県,株式会社国際テクノ・センター、株式会社オリエンタルコンサルタンツ,メキシコ
,,,,,,,,
,,,,,,,,
138,2019,案件化調査（中小企業支援型）,保健医療,簡易検査キットによる薬剤耐性菌監視システム構築と拡散防止に係る案件化調査【途上国発イノベーション】,コージンバイオ株式会社,埼玉県,【契約交渉中】,ミャンマー
139,2013,案件化調査（中小企業支援型）,防災・災害対策,超軟弱地盤補強材D・BOXを用いたインフラ案件化調査,メトリー技術研究所株式会社、パシフィックコンサルタンツ株式会社、株式会社オリエンタルコンサルタンツ、株式会社前田技建工業 共同企業体,埼玉県,(なし),ミャンマー
,,,,,,,,
,,,,,,,,
140,2014,案件化調査（中小企業支援型）,その他,ビエンチャンにおけるバス事業改善システム案件化調査,イーグルバス株式会社,埼玉県,株式会社片平エンジニアリング・インターナショナル,ラオス
,,,,,,,,
,,,,,,,,
141,2017,普及・実証・ビジネス化事業（中小企業支援型）,環境・エネルギー,ディーゼル路線バスのDPFによる黒煙低減計画に関する普及・実証事業,株式会社コモテック,埼玉県,株式会社数理計画,モンゴル
,,,,,,,,
142,2018,普及・実証・ビジネス化事業（中小企業支援型）,水の浄化・水処理,腐敗槽汚泥(Septage)固液分離液の高度処理システムの普及・実証事業【インフラ整備技術推進特別枠】,株式会社オーエム製作所,埼玉県,【契約交渉中】,フィリピン
143,2014,普及・実証・ビジネス化事業（中小企業支援型）,職業訓練・産業育成,日本水準の建築技能訓練者育成プログラム普及・実証事業,株式会社KNDコーポレーション,埼玉県,(なし),ミャンマー
,,,,,,,,
,,,,,,,,
144,2018,普及・実証・ビジネス化事業（中小企業支援型）,職業訓練・産業育成,自動車産業の補完産業としての梱包材産業振興に向けた普及・実証事業【1.5億円枠】,カネパッケージ株式会社,埼玉県,アクセンチュア株式会社,メキシコ
145,2016,普及・実証・ビジネス化事業（中小企業支援型）,農業,ラバーダムのリハビリ技術に関する普及・実証事業,日本自動機工株式会社,埼玉県,日本テクノ株式会社,インドネシア
,,,,,,,,
146,2014,普及・実証・ビジネス化事業（中小企業支援型）,保健医療,新生児黄疸の診断・治療水準向上のための普及・実証事業,株式会社アペレ,埼玉県,株式会社大和総研,ベトナム
,,,,,,,,
,,,,,,,,
147,2013,普及・実証・ビジネス化事業（中小企業支援型）,その他,交通信号機設置による交通環境改善普及・実証事業,株式会社和幸製作所,埼玉県,株式会社大和総研,ミャンマー
,,,,,,,,
,,,,,,,,
,,,,,,,,
148,2014,普及・実証・ビジネス化事業（中小企業支援型）,その他,内部拘束式箱型土のうを用いた鉄道インフラ普及・実証事業,メトリー技術研究所株式会社,埼玉県,パシフィックコンサルタンツ株式会社,ミャンマー
,,,,,,,,
,,,,,,,,
,,,,,,,,
149,2015,普及・実証・ビジネス化事業（中小企業支援型）,その他,バス事業改善システム普及・実証事業,イーグルバス株式会社,埼玉県,株式会社片平エンジニアリング・インターナショナル,ラオス
,,,,,,,,
150,2016,基礎調査,環境・エネルギー,リチウムイオン電池製造にかかる基礎調査,株式会社共創,埼玉県,株式会社E&T総研,スリランカ
,,,,,,,,
,,,,,,,,
151,2013,基礎調査,廃棄物処理,ゼロエミッション実現に向けたアルミドロス(残滓)の完全再生及びループ構築事業化調査(中小企業連携促進),小川アルミ工業株式会社、イクショウ株式会社、株式会社かいはつマネジメント・コンサルティング 共同企業体,埼玉県,(なし),タイ
152,2013,基礎調査,廃棄物処理,自動車用バッテリーの再生販売事業調査(中小企業連携促進),株式会社ユーパーツ、株式会社早稲田環境研究所、公益財団法人本庄早稲田国際リサーチパーク 共同企業体,埼玉県,(なし),ペルー
153,2012,基礎調査,水の浄化・水処理,スランゴール及びマラッカ州水道浄水処理凝集薬品現地生産化事業調査(中小企業連携促進),直治薬品株式会社、株式会社東京設計事務所 共同企業体,埼玉県,りそな総合研究所株式会社、東北大学大学院、埼玉県企業局,マレーシア
154,2019,基礎調査,農業,小規模農家への小豆の有機栽培技術と輪作体系導入にかかる基礎調査,有限会社サン・スマイル,埼玉県,【契約交渉中】,ブータン
155,2020,基礎調査,保健医療,インド国乳がんの早期発見のための自己検診補助手袋に係る基礎調査,株式会社ICST,埼玉県,【契約交渉中】,インド
